month,region,product,age_group,sales,units
May,West,Laptop,46-55,402,38
Jan,South,Phone,18-25,738,13
Jan,West,Laptop,18-25,155,31
Jan,North,Headphones,18-25,4921,47
Jan,West,Headphones,55+,625,36
Apr,West,Laptop,26-35,4669,45
Mar,North,Headphones,46-55,4223,24
Mar,South,Headphones,55+,2225,15
Jan,North,Headphones,55+,3387,29
Mar,West,Tablet,55+,464,8
Mar,South,Watch,55+,4721,5
Jan,West,Phone,55+,1746,29
Mar,North,Tablet,36-45,1018,47
May,North,Headphones,46-55,2897,4
Feb,West,Laptop,55+,1631,12
Feb,East,Headphones,46-55,3445,45
Jan,East,Watch,36-45,2006,2
Apr,North,Headphones,36-45,3186,27
Jan,North,Laptop,46-55,4680,31
Apr,East,Watch,18-25,2175,36
Feb,East,Headphones,26-35,813,36
Jan,West,Watch,18-25,1162,26
Jun,West,Phone,18-25,2076,43
May,East,Phone,18-25,1396,27
Mar,West,Headphones,55+,225,5
Apr,West,Watch,36-45,4732,20
Jun,South,Laptop,18-25,3696,11
Mar,West,Headphones,36-45,3383,10
Mar,North,Phone,46-55,1703,40
Jan,West,Phone,26-35,166,38
Mar,West,Headphones,46-55,332,6
May,East,Watch,46-55,2256,8
Jun,North,Phone,55+,1269,23
Mar,West,Watch,26-35,2258,47
Jan,West,Phone,46-55,4306,26
May,South,Phone,46-55,1593,46
Feb,West,Tablet,26-35,4818,43
Jun,West,Phone,26-35,4107,12
Mar,South,Laptop,46-55,2572,26
Jan,East,Headphones,26-35,2760,13
Feb,West,Headphones,46-55,2839,40
Feb,South,Watch,46-55,1861,18
Apr,North,Phone,55+,3614,25
May,East,Laptop,18-25,2075,33
Mar,North,Watch,46-55,2462,47
Jan,North,Tablet,36-45,976,40
Apr,South,Watch,18-25,3912,43
May,West,Watch,18-25,3548,12
Apr,South,Phone,18-25,1412,44
Jun,South,Tablet,55+,1560,36
May,South,Watch,46-55,2809,48
May,South,Laptop,55+,2424,4
Mar,East,Laptop,46-55,1833,5
May,West,Headphones,55+,1705,37
Apr,North,Tablet,55+,2663,8
May,North,Tablet,36-45,3521,42
Mar,West,Headphones,55+,3617,49
Mar,North,Watch,26-35,2497,28
Jun,West,Tablet,36-45,3835,31
Apr,North,Laptop,55+,2970,9
Feb,South,Laptop,18-25,1260,29
Feb,North,Phone,26-35,4954,14
May,West,Tablet,26-35,342,40
Jun,West,Watch,26-35,2690,41
Jan,West,Headphones,36-45,1163,22
May,West,Headphones,55+,4424,11
Jun,West,Watch,55+,2695,23
Apr,East,Phone,18-25,1019,1
Apr,East,Headphones,18-25,105,46
Apr,North,Tablet,26-35,567,37
Apr,West,Phone,18-25,4270,21
Apr,North,Tablet,36-45,103,26
Jun,West,Laptop,55+,745,46
Jun,West,Phone,26-35,217,36
Mar,East,Headphones,18-25,3028,23
Feb,East,Phone,36-45,2651,1
Apr,South,Phone,36-45,4389,40
Jan,East,Phone,18-25,946,15
Jun,South,Phone,55+,2862,21
Jan,South,Tablet,18-25,1241,47
Jan,South,Laptop,26-35,1910,9
Jan,South,Watch,18-25,823,9
Mar,South,Phone,36-45,324,10
Jun,North,Headphones,18-25,4727,26
Jan,East,Phone,55+,4308,41
Apr,South,Headphones,46-55,4754,35
May,West,Tablet,18-25,2148,25
Jan,East,Headphones,55+,4849,26
Mar,East,Watch,55+,4515,11
Jun,South,Laptop,36-45,1673,38
Mar,North,Headphones,55+,1928,2
Jan,South,Headphones,55+,2017,7
Jun,North,Laptop,55+,4334,18
May,West,Watch,55+,2126,27
Jan,East,Phone,26-35,3844,34
Mar,West,Headphones,26-35,1001,27
Feb,North,Laptop,36-45,4885,17
Apr,North,Tablet,18-25,2139,43
Mar,West,Laptop,55+,109,44
Jun,North,Tablet,18-25,360,24
